,Hex,Red,Green,Blue,Hue,Saturation,Value,Label
158,#8A3324,0.5411764705882353,0.2,0.1411764705882353,0.9938441702975689,0.7391304347826086,0.5411764705882353,15
159,#BD33A4,0.7411764705882353,0.2,0.6431372549019607,0.8280295144952535,0.7301587301587302,0.7411764705882353,85
160,#702963,0.4392156862745098,0.16078431372549018,0.38823529411764707,0.8280295144952535,0.6339285714285715,0.4392156862745098,13
161,#536872,0.3254901960784314,0.40784313725490196,0.44705882352941173,0.027240712200341632,0.2719298245614035,0.44705882352941184,33
162,#5F9EA0,0.37254901960784315,0.6196078431372549,0.6274509803921569,0.00030458649045211894,0.40625,0.6274509803921569,17
163,#91A3B0,0.5686274509803921,0.6392156862745098,0.6901960784313725,0.046846106481674976,0.17613636363636365,0.6901960784313725,17
164,#006B3C,0.0,0.4196078431372549,0.23529411764705882,0.05060297685041648,1.0,0.4196078431372549,76
165,#ED872D,0.9294117647058824,0.5294117647058824,0.1764705882352941,0.9414737964294635,0.8101265822784811,0.9294117647058824,19
166,#E30022,0.8901960784313725,0.0,0.13333333333333333,0.9938441702975689,1.0,0.8901960784313725,70
167,#FFF600,1.0,0.9647058823529412,0.0,0.7649596321166025,1.0,1.0,48
168,#A67B5B,0.6509803921568628,0.4823529411764706,0.3568627450980392,0.9493970231495835,0.4518072289156627,0.6509803921568628,74
169,#4B3621,0.29411764705882354,0.21176470588235294,0.12941176470588234,0.9330127018922194,0.5599999999999999,0.29411764705882354,71
170,#1E4D2B,0.11764705882352941,0.30196078431372547,0.16862745098039217,0.13432314919041477,0.6103896103896104,0.30196078431372547,9
171,#A3C1AD,0.6392156862745098,0.7568627450980392,0.6784313725490196,0.11697777844051105,0.15544041450777207,0.7568627450980392,94
172,#C19A6B,0.7568627450980392,0.6039215686274509,0.4196078431372549,0.919335283972712,0.44559585492227977,0.7568627450980392,29
173,#EFBBCC,0.9372549019607843,0.7333333333333333,0.8,0.9698463103929542,0.21757322175732224,0.9372549019607843,84
174,#78866B,0.47058823529411764,0.5254901960784314,0.4196078431372549,0.49127379678135824,0.20149253731343286,0.5254901960784314,95
175,#FFFF99,1.0,1.0,0.6,0.75,0.4,1.0,55
176,#FFEF00,1.0,0.9372549019607843,0.0,0.7795964517353734,1.0,1.0,48
177,#FF0800,1.0,0.03137254901960784,0.0,0.9996954135095479,1.0,1.0,70
178,#E4717A,0.8941176470588235,0.44313725490196076,0.4784313725490196,0.9980973490458728,0.5043859649122807,0.8941176470588237,26
179,#00BFFF,0.0,0.7490196078431373,1.0,0.017037086855465844,1.0,1.0,46
180,#592720,0.34901960784313724,0.15294117647058825,0.12549019607843137,0.996273075820661,0.6404494382022472,0.34901960784313724,58
181,#C41E3A,0.7686274509803921,0.11764705882352941,0.22745098039215686,0.9924038765061041,0.8469387755102041,0.7686274509803923,27
182,#00CC99,0.0,0.8,0.6,0.0170370868554659,1.0,0.8,81
183,#960018,0.5882352941176471,0.0,0.09411764705882353,0.9924038765061041,1.0,0.5882352941176471,2
184,#D70040,0.8431372549019608,0.0,0.25098039215686274,0.9755282581475768,1.0,0.8431372549019608,27
185,#EB4C42,0.9215686274509803,0.2980392156862745,0.2588235294117647,0.9987820251299121,0.7191489361702127,0.9215686274509804,82
186,#FF0038,1.0,0.0,0.2196078431372549,0.9871850323926176,1.0,1.0,32
187,#FFA6C9,1.0,0.6509803921568628,0.788235294117647,0.9567727288213005,0.34901960784313724,1.0,52
188,#B31B1B,0.7019607843137254,0.10588235294117647,0.10588235294117647,1.0,0.8491620111731846,0.7019607843137254,2
189,#56A0D3,0.33725490196078434,0.6274509803921569,0.8274509803921568,0.04322727117869957,0.5924170616113743,0.8274509803921568,17
190,#ED9121,0.9294117647058824,0.5686274509803921,0.12941176470588234,0.919335283972712,0.8607594936708861,0.9294117647058824,41
191,#00563F,0.0,0.33725490196078434,0.24705882352941178,0.019369152030840553,1.0,0.33725490196078434,76
192,#062A78,0.023529411764705882,0.16470588235294117,0.47058823529411764,0.12264520988861394,0.9500000000000001,0.47058823529411764,77
193,#703642,0.4392156862745098,0.21176470588235294,0.2588235294117647,0.9890738003669028,0.5178571428571429,0.4392156862745098,90
194,#C95A49,0.788235294117647,0.3529411764705882,0.28627450980392155,0.9951340343707852,0.6368159203980099,0.7882352941176471,39
195,#92A1CF,0.5725490196078431,0.6313725490196078,0.8117647058823529,0.14644660940672616,0.2946859903381643,0.8117647058823529,94
196,#ACE1AF,0.6745098039215687,0.8823529411764706,0.6862745098039216,0.22768048249248646,0.23555555555555552,0.8823529411764706,57
197,#007BA7,0.0,0.4823529411764706,0.6549019607843137,0.019369152030840553,1.0,0.6549019607843137,40
