,Hex,Red,Green,Blue,Label
70,#BCD4E6,0.7372549019607844,0.8313725490196078,0.9019607843137255,100
71,#9F8170,0.6235294117647059,0.5058823529411764,0.4392156862745098,61
72,#FA6E79,0.9803921568627451,0.43137254901960786,0.4745098039215686,92
73,#F5F5DC,0.9607843137254902,0.9607843137254902,0.8627450980392157,53
74,#2E5894,0.1803921568627451,0.34509803921568627,0.580392156862745,162
75,#9C2542,0.611764705882353,0.14509803921568626,0.2588235294117647,91
76,#E88E5A,0.9098039215686274,0.5568627450980392,0.3529411764705882,130
77,#FFE4C4,1.0,0.8941176470588235,0.7686274509803921,171
78,#3D2B1F,0.2392156862745098,0.16862745098039217,0.12156862745098039,63
79,#967117,0.5882352941176471,0.44313725490196076,0.09019607843137255,50
80,#CAE00D,0.792156862745098,0.8784313725490196,0.050980392156862744,34
81,#BFFF00,0.7490196078431373,1.0,0.0,34
82,#FE6F5E,0.996078431372549,0.43529411764705883,0.3686274509803922,24
83,#BF4F51,0.7490196078431373,0.30980392156862746,0.3176470588235294,146
84,#000000,0.0,0.0,0.0,36
85,#3D0C02,0.2392156862745098,0.047058823529411764,0.00784313725490196,116
86,#54626F,0.32941176470588235,0.38431372549019605,0.43529411764705883,124
87,#253529,0.14509803921568626,0.20784313725490194,0.16078431372549018,135
88,#3B3C36,0.23137254901960785,0.23529411764705882,0.21176470588235294,63
89,#BFAFB2,0.7490196078431373,0.6862745098039216,0.6980392156862745,115
90,#FFEBCD,1.0,0.9215686274509803,0.803921568627451,171
91,#A57164,0.6470588235294118,0.44313725490196076,0.39215686274509803,61
92,#318CE7,0.19215686274509802,0.5490196078431373,0.9058823529411765,75
93,#ACE5EE,0.6745098039215687,0.8980392156862745,0.9333333333333333,100
94,#FAF0BE,0.9803921568627451,0.9411764705882353,0.7450980392156863,171
95,#0000FF,0.0,0.0,1.0,113
96,#1F75FE,0.12156862745098039,0.4588235294117647,0.996078431372549,84
97,#0093AF,0.0,0.5764705882352941,0.6862745098039216,93
98,#0087BD,0.0,0.5294117647058824,0.7411764705882353,93
99,#0018A8,0.0,0.09411764705882353,0.6588235294117647,48
100,#333399,0.2,0.2,0.6,122
101,#0247FE,0.00784313725490196,0.2784313725490196,0.996078431372549,144
102,#A2A2D0,0.6352941176470588,0.6352941176470588,0.8156862745098039,132
103,#00B9FB,0.0,0.7254901960784313,0.984313725490196,8
104,#6699CC,0.4,0.6,0.8,21
105,#0D98BA,0.050980392156862744,0.596078431372549,0.7294117647058823,93
106,#5DADEC,0.36470588235294116,0.6784313725490196,0.9254901960784314,52
107,#ACE5EE,0.6745098039215687,0.8980392156862745,0.9333333333333333,100
108,#553592,0.3333333333333333,0.20784313725490194,0.5725490196078431,138
109,#126180,0.07058823529411765,0.3803921568627451,0.5019607843137255,118
110,#8A2BE2,0.5411764705882353,0.16862745098039217,0.8862745098039215,9
111,#5072A7,0.3137254901960784,0.44705882352941173,0.6549019607843137,89
112,#4F86F7,0.30980392156862746,0.5254901960784314,0.9686274509803922,75
113,#1C1CF0,0.10980392156862745,0.10980392156862745,0.9411764705882353,113
114,#DE5D83,0.8705882352941177,0.36470588235294116,0.5137254901960784,54
115,#79443B,0.4745098039215686,0.26666666666666666,0.23137254901960785,111
116,#0095B6,0.0,0.5843137254901961,0.7137254901960784,93
117,#E3DAC9,0.8901960784313725,0.8549019607843137,0.788235294117647,69
